Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax,meanTemp,TotPrecip,Max24hrPrecip
11,1976,25,82,65,41,44.7,62.8,53.8,6.81,2.84
12,1976,29,71,57,45,41.2,60.3,50.7,7.68,1.4
1,1977,20,78,54,39,36,53.7,44.9,3.6,1.7
2,1977,35,82,59,43,44.6,65.8,55.2,2.75,2.24
3,1977,38,85,66,55,53,72.5,62.7,3.01,0.8
4,1977,44,83,70,70,57.8,78.6,68.2,4.97,3.62
5,1977,61,94,71,81,66.8,86.1,76.5,1.98,0.77
6,1977,67,98,78,82,73.7,92.3,83,3.99,1.63
7,1977,71,98,78,90,74.6,93.8,84.2,3.74,1.29
8,1977,74,98,80,86,76.9,92.8,84.9,3.34,1.37
9,1977,67,96,78,84,72.5,91.5,82,4.89,1.4
10,1977,42,95,78,71,60.8,83.1,72,1.16,0.4
11,1977,33,86,67,58,53.7,73.9,63.8,6.75,2.12
12,1977,25,83,65,51,44.8,65.9,55.3,1.61,1.02
1,1978,24,79,64,30,36.5,50.2,43.4,8.12,1.96
2,1978,24,83,60,41,37.4,55.1,46.3,3.26,1.96
3,1978,30,84,63,49,46.5,71,58.7,0.87,0.43
4,1978,46,90,69,58,59,78.5,68.7,0.91,0.56
5,1978,44,94,75,64,66.9,88.4,77.6,2.88,2.35
6,1978,67,96,75,80,72.7,90.8,81.8,4.76,1.59
7,1978,71,97,78,86,74.8,93.5,84.1,2.82,0.82
8,1978,70,96,77,83,74.2,93.1,83.7,2.65,1.25
9,1978,64,93,77,78,72.2,87.2,79.7,8.09,2.64
10,1978,45,88,69,74,58.3,82.5,70.4,0,0
11,1978,38,87,67,52,55.6,74.1,64.8,7.88,3.05
12,1978,24,81,66,43,43.2,64.4,53.8,2.23,0.53
1,1979,16,71,65,33,36.2,52.6,44.4,5.54,2.13
2,1979,26,77,64,38,42.5,60.8,51.6,4.53,1.45
3,1979,38,81,68,63,52.8,72.9,62.8,7.93,4.46
4,1979,47,87,71,63,61.7,77.9,69.8,5.87,1.71
5,1979,55,92,74,72,63.5,83,73.3,4.99,1.37
6,1979,63,94,77,80,71.8,88.7,80.3,6.75,1.99
7,1979,71,95,78,80,74.7,89.8,82.3,17.26,5.51
